Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0A4,0200,0A4,0000,000,0000,000,0000,0000,004,0100
0A6,2F40,020,1207,0A5,1207,000,00A5,0000,004,0100
020,0001,021,1207,020,0001,000,00A5,0000,004,0100,020,0001
021,0000,022,1207,021,0000,000,00A5,0000,004,0100,021,0000
022,AC01,023,1207,022,AC01,000,00A5,0000,004,0100,022,AC01
023,CE01,024,1207,023,CE01,000,00A5,0000,004,0100,023,CE01
024,AEFC,025,1207,024,AEFC,000,00A5,0000,004,0100,024,AEFC
025,4EFA,026,1207,025,4EFA,000,00A5,0000,004,0100,025,4EFA
026,0580,027,1207,026,0580,000,00A5,0000,004,0100,026,0580
027,0C00,028,1207,027,0C00,000,00A5,0000,004,0100,027,0C00
028,DE1D,029,1207,028,DE1D,000,00A5,0000,004,0100,028,DE1D
029,F004,02A,1207,029,F004,000,00A5,0000,004,0100,029,F004
02A,F305,02B,1207,02A,F305,000,00A5,0000,004,0100,02A,F305
02B,F207,02C,1207,02B,F207,000,00A5,0000,004,0100,02B,F207
02C,AF00,02D,1207,02C,AF00,000,00A5,0000,004,0100,02C,AF00
02D,0A00,02E,1207,02D,0A00,000,00A5,0000,004,0100,02D,0A00
02E,0800,02F,1207,02E,0800,000,00A5,0000,004,0100,02E,0800
02F,0A00,030,1207,02F,0A00,000,00A5,0000,004,0100,02F,0A00
030,0800,031,1207,030,0800,000,00A5,0000,004,0100,030,0800
031,EEEF,032,1207,031,EEEF,000,00A5,0000,004,0100,031,EEEF
032,CEF1,033,1207,032,CEF1,000,00A5,0000,004,0100,032,CEF1
033,0800,034,1207,033,0800,000,00A5,0000,004,0100,033,0800
034,EEEB,035,1207,034,EEEB,000,00A5,0000,004,0100,034,EEEB
035,CEEE,036,1207,035,CEEE,000,00A5,0000,004,0100,035,CEEE
036,0000,037,1207,036,0000,000,00A5,0000,004,0100,036,0000
037,0000,038,1207,037,0000,000,00A5,0000,004,0100,037,0000
038,0000,039,1207,038,0000,000,00A5,0000,004,0100,038,0000
039,0000,03A,1207,039,0000,000,00A5,0000,004,0100,039,0000
03A,0000,03B,1207,03A,0000,000,00A5,0000,004,0100,03A,0000
03B,0000,03C,1207,03B,0000,000,00A5,0000,004,0100,03B,0000
03C,0000,03D,1207,03C,0000,000,00A5,0000,004,0100,03C,0000
03D,0000,03E,1207,03D,0000,000,00A5,0000,004,0100,03D,0000
03E,0000,03F,1207,03E,0000,000,00A5,0000,004,0100,03E,0000
03F,0000,040,1207,03F,0000,000,00A5,0000,004,0100,03F,0000
040,0000,041,1207,040,0000,000,00A5,0000,004,0100,040,0000
041,0000,042,1207,041,0000,000,00A5,0000,004,0100,041,0000
042,0000,043,1207,042,0000,000,00A5,0000,004,0100,042,0000
043,000F,044,1207,043,000F,000,00A5,0000,004,0100,043,000F
044,F000,045,1207,044,F000,000,00A5,0000,004,0100,044,F000
045,0000,046,1207,045,0000,000,00A5,0000,004,0100,045,0000
046,AC04,047,1207,046,AC04,000,00A5,0000,004,0100,046,AC04
047,0740,048,1207,047,0740,000,00A5,0000,004,0100,047,0740
048,EEF7,049,1207,048,EEF7,000,00A5,0000,004,0100,048,EEF7
049,AC01,04A,1207,049,AC01,000,00A5,0000,004,0100,049,AC01
04A,EEF6,04B,1207,04A,EEF6,000,00A5,0000,004,0100,04A,EEF6
04B,EEF6,04C,1207,04B,EEF6,000,00A5,0000,004,0100,04B,EEF6
04C,CE01,04D,1207,04C,CE01,000,00A5,0000,004,0100,04C,CE01
04D,AEF4,04E,1207,04D,AEF4,000,00A5,0000,004,0100,04D,AEF4
04E,0C00,04F,1207,04E,0C00,000,00A5,0000,004,0100,04E,0C00
04F,AEF1,050,1207,04F,AEF1,000,00A5,0000,004,0100,04F,AEF1
