Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
070,F009,07A,F009,070,F009,7F6,0009,0000,004,0100
07A,AC04,07B,AC04,7FA,0006,7F6,0004,0006,000,0000
07B,0580,07C,0580,07B,0580,7F6,007B,0003,000,0000
07C,EC04,07D,EC04,7FA,0003,7F6,0004,0003,000,0000,7FA,0003
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,081,8EE0,060,0000,7F6,FFFF,0000,004,0100,060,0000
081,0800,082,0800,7F6,0000,7F7,0081,0000,004,0100
082,0800,083,0800,7F7,0000,7F8,0082,0000,004,0100
083,0A00,055,0A00,7F8,0055,7F9,0083,0000,004,0100
055,0800,056,0800,7F9,0100,7FA,0055,0100,000,0000
056,0800,057,0800,7FA,0003,7FB,0056,0003,000,0000
057,EEE9,058,EEE9,041,0003,7FB,FFE9,0003,000,0000,041,0003
058,7C03,059,7C03,7FE,001B,7FB,0003,0003,008,1000
059,F302,05A,F302,059,F302,7FB,0059,0003,008,1000
05A,AEE9,05B,AEE9,044,FFFF,7FB,FFE9,FFFF,008,1000
05B,0A00,01A,0A00,7FB,001A,7FC,005B,FFFF,008,1000
01A,EEF5,01B,EEF5,010,FFFF,7FC,FFF5,FFFF,008,1000,010,FFFF
01B,0100,01C,0100,01B,0100,7FC,001B,FFFF,008,1000
